train_time,passenger_count
5:04:00,430
5:14:00,193
5:24:00,198
5:34:00,904
5:44:00,644
5:54:00,653
6:04:00,589
6:13:00,739
6:22:00,1169
6:28:00,423
6:35:00,1275
6:42:00,618
6:45:00,832
6:52:00,814
6:59:00,1585
7:06:00,1563
7:12:00,894
7:17:00,836
7:24:00,1946
7:30:00,1992
7:36:00,1787
7:42:00,1443
7:47:00,1798
7:54:00,2396
8:00:00,1435
8:06:00,1961
8:12:00,2329
8:18:00,2188
8:24:00,1780
8:31:00,1722
8:37:00,1648
8:44:00,2150
8:48:00,1107
8:52:00,915
8:59:00,2367
9:07:00,2232
9:15:00,2208
9:21:00,2169
9:23:00,333
9:31:00,1980
9:39:00,2283
9:43:00,743
9:47:00,1395
9:55:00,1956
10:03:00,1606
10:11:00,2650
10:19:00,2675
10:27:00,1330
10:35:00,2586
10:43:00,2455
10:51:00,1286
10:59:00,2429
11:07:00,1840
11:15:00,1449
11:23:00,2062
11:31:00,1096
11:39:00,2126
11:47:00,1021
11:55:00,1773
12:03:00,982
12:11:00,2025
12:19:00,1514
12:27:00,1374
12:35:00,1318
12:43:00,1413
12:51:00,1365
12:59:00,1140
13:07:00,1385
13:15:00,1179
13:23:00,1745
13:31:00,874
13:39:00,1640
13:47:00,844
13:55:00,1354
14:03:00,790
14:11:00,1383
14:19:00,1047
14:27:00,947
14:35:00,977
14:43:00,983
14:51:00,998
14:59:00,779
15:07:00,968
15:15:00,803
15:23:00,1180
15:31:00,730
15:39:00,1244
15:47:00,712
15:54:00,903
16:01:00,680
16:08:00,976
16:14:00,835
16:22:00,1032
16:28:00,538
16:30:00,429
16:36:00,812
16:43:00,911
16:49:00,504
16:55:00,818
17:01:00,650
17:06:00,699
17:13:00,709
17:19:00,995
17:25:00,473
17:31:00,754
17:37:00,784
17:43:00,587
17:49:00,633
17:55:00,618
18:01:00,653
18:07:00,871
18:13:00,470
18:19:00,901
18:25:00,509
18:32:00,848
18:38:00,519
18:45:00,750
18:53:00,496
19:01:00,730
19:09:00,750
19:13:00,239
19:17:00,270
19:25:00,719
19:33:00,759
19:40:00,451
19:49:00,707
19:57:00,593
20:05:00,404
20:13:00,532
20:23:00,624
20:33:00,594
20:43:00,317
20:53:00,584
21:03:00,484
21:13:00,505
21:18:00,293
21:23:00,217
21:33:00,478
21:43:00,320
21:53:00,458
22:03:00,420
22:08:00,145
22:13:00,296
22:23:00,344
22:33:00,363
22:43:00,332
22:48:00,93
22:58:00,321
23:08:00,296
23:22:00,275
23:32:00,188
23:45:00,200
